epoca;best;avg
1;16.718;-0.555
2;16.718;5.447
3;16.718;6.950
4;16.718;8.933
5;16.718;7.540
6;16.718;8.007
7;19.551;9.469
8;19.551;9.899
9;19.551;12.116
10;19.551;10.472
11;19.551;9.917
12;19.551;7.942
13;19.551;11.465
14;19.551;10.191
15;19.551;9.349
16;19.551;8.978
17;19.551;8.957
18;19.551;10.328
19;19.551;8.703
20;19.551;9.380
21;19.551;10.847
22;19.551;10.761
23;19.551;10.153
24;19.551;11.456
25;19.551;8.929
26;20.048;7.956
27;20.048;7.970
28;20.048;9.180
29;21.421;11.123
30;21.421;9.916
31;21.421;7.892
32;21.973;12.249
33;21.973;11.250
34;21.973;10.651
35;21.973;9.464
36;21.973;11.364
37;21.973;12.040
38;21.973;12.709
39;21.973;11.183
40;21.973;11.062
41;21.973;10.162
42;21.973;9.496
43;21.973;9.071
44;21.973;7.921
45;21.973;10.208
46;21.973;10.519
47;21.973;10.769
48;22.290;12.631
49;22.290;10.332
50;22.290;6.005
51;22.290;7.937
52;22.290;10.085
53;22.290;9.197
54;22.290;8.340
55;22.290;12.598
56;22.290;12.308
57;22.290;10.549
58;22.290;10.873
59;22.290;10.306
60;22.290;11.918
61;22.290;7.958
62;22.290;8.833
63;22.290;11.205
64;22.290;12.586
65;22.290;11.618
66;22.290;15.398
67;22.290;16.478
68;22.290;13.524
69;22.290;8.791
70;22.290;10.796
71;22.290;15.529
72;22.290;15.252
73;22.290;13.712
74;22.290;13.121
75;22.290;13.217
76;22.290;13.449
77;22.290;14.977
78;22.290;12.484
79;22.290;9.017
80;22.290;9.945
81;22.290;9.607
82;22.290;14.484
83;22.290;12.081
84;22.290;13.263
85;22.290;9.499
86;22.290;9.267
87;22.290;10.066
88;22.290;12.228
89;22.290;13.934
90;22.290;12.052
91;22.290;14.516
92;22.290;12.486
93;22.290;11.389
94;22.290;11.615
95;22.290;10.381
96;22.290;10.054
97;22.290;10.659
98;22.290;12.335
99;22.290;13.063
100;22.290;11.415
101;22.290;11.226
102;22.290;11.165
103;22.290;14.633
104;22.290;11.973
105;22.290;12.601
106;22.290;13.795
107;22.290;13.566
108;22.290;10.223
109;22.290;11.292
110;22.290;12.249
111;22.290;15.187
112;22.290;12.887
113;22.290;9.149
114;22.290;12.432
115;22.290;12.089
116;22.290;11.367
117;22.290;13.096
118;22.290;14.011
119;22.290;11.933
120;22.290;15.109
121;22.290;12.803
122;22.290;11.429
123;22.290;14.012
124;22.290;8.738
125;22.290;10.819
126;22.290;10.195
127;22.290;14.049
128;22.290;13.054
129;22.290;9.830
130;22.290;9.921
131;22.290;11.516
132;22.290;9.989
133;22.290;11.957
134;22.290;10.778
135;22.290;9.012
136;22.290;9.411
137;22.290;12.008
138;22.290;12.563
139;22.290;12.155
140;22.290;9.657
141;22.290;8.722
142;22.290;7.178
143;22.290;9.731
144;22.290;10.519
145;22.290;11.050
146;22.290;9.695
147;22.290;7.438
148;22.290;11.612
149;22.290;9.660
150;22.290;9.814
151;22.290;13.597
152;22.290;9.447
153;22.290;11.432
154;22.290;9.237
155;22.290;13.975
156;22.290;13.199
157;22.290;10.874
158;22.290;12.238
159;22.290;13.318
160;22.290;14.983
161;22.290;11.033
162;22.290;8.416
163;22.290;9.761
164;22.290;11.664
165;22.290;12.964
166;22.290;12.299
167;22.290;12.228
168;22.290;8.606
169;22.290;12.339
170;22.290;13.308
171;22.290;8.834
172;22.290;11.135
173;22.290;11.399
174;22.290;10.206
175;22.290;8.992
176;22.290;14.653
177;22.290;12.064
178;22.290;10.758
179;22.290;12.512
180;22.290;11.694
181;22.290;10.865
182;22.290;9.546
183;22.290;9.034
184;22.290;9.574
185;22.290;10.912
186;22.290;11.774
187;22.290;13.232
188;22.290;11.914
189;22.290;16.013
190;22.290;14.316
191;22.290;10.035
192;22.290;10.296
193;22.290;13.920
194;22.290;11.628
195;22.290;12.998
196;22.290;12.453
197;22.290;11.327
198;22.290;12.229
199;22.290;13.263
200;22.290;9.771
	MELHOR INDIVIDUO NASCEU NA GERAÇÃO 48
	22.289690 pts - (-374.70,-62.50,137.40)
