N,option,L1-loads,L1-misses-raw,L1-misses,branches,branch-misses-raw,branch-misses
10,i,799651.0,42455.0,5.31,521336.0,16153.0,3.1
10,i,805578.0,44259.0,5.49,527639.0,16000.0,3.03
10,i,801104.0,51859.0,6.47,525714.0,16374.0,3.11
10,i,804129.0,45785.0,5.69,527280.0,16446.0,3.12
10,i,803249.0,46262.0,5.76,526665.0,16442.0,3.12
10,i,796523.0,41886.0,5.26,519887.0,15760.0,3.03
10,i,795518.0,41935.0,5.27,519204.0,15978.0,3.08
10,i,802705.0,42337.0,5.27,526757.0,15819.0,3.0
10,i,797006.0,44498.0,5.58,519813.0,16427.0,3.16
10,i,800458.0,46661.0,5.83,524410.0,16279.0,3.1
10,i,882536.0,48501.0,5.5,574338.0,17818.0,3.1
10,i,801973.0,47572.0,5.93,523588.0,16908.0,3.23
10,i,798277.0,42641.0,5.34,522505.0,15979.0,3.06
10,i,800700.0,46804.0,5.85,523796.0,16313.0,3.11
10,i,795682.0,43584.0,5.48,519151.0,15998.0,3.08
100,i,23425008.0,182418.0,0.78,2983978.0,28590.0,0.96
100,i,23426992.0,193398.0,0.83,2984016.0,28608.0,0.96
100,i,23426327.0,170877.0,0.73,2984688.0,28480.0,0.95
100,i,23423396.0,187114.0,0.8,2982989.0,28239.0,0.95
100,i,23411765.0,177181.0,0.76,2973228.0,27901.0,0.94
100,i,23427819.0,192150.0,0.82,2986170.0,28866.0,0.97
100,i,23424301.0,176422.0,0.75,2983215.0,27425.0,0.92
100,i,23428835.0,179898.0,0.77,2986712.0,28040.0,0.94
100,i,23430340.0,188420.0,0.8,2988008.0,28416.0,0.95
100,i,23434140.0,188784.0,0.81,2989015.0,28702.0,0.96
100,i,23425984.0,176973.0,0.76,2981646.0,28241.0,0.95
100,i,23434907.0,187081.0,0.8,2989811.0,28649.0,0.96
100,i,23430343.0,190408.0,0.81,2987313.0,28395.0,0.95
100,i,23427405.0,176445.0,0.75,2984654.0,27404.0,0.92
100,i,23423876.0,176637.0,0.75,2983475.0,28565.0,0.96
1000,i,22066817789.0,138547886.0,0.63,2046711150.0,1342957.0,0.07
1000,i,22067707427.0,137604625.0,0.62,2047221399.0,1390620.0,0.07
1000,i,22065806871.0,138420191.0,0.63,2046096796.0,1266910.0,0.06
1000,i,22066369842.0,132950681.0,0.6,2046441493.0,1294669.0,0.06
1000,i,22065342032.0,129308960.0,0.59,2045827073.0,1201269.0,0.06
1000,i,22065573953.0,129719534.0,0.59,2045978795.0,1215837.0,0.06
1000,i,22065353889.0,129807986.0,0.59,2045836852.0,1198031.0,0.06
1000,i,22065577069.0,129719844.0,0.59,2045984823.0,1215435.0,0.06
1000,i,22065389607.0,129452019.0,0.59,2045863218.0,1202571.0,0.06
1000,i,22065431804.0,129428765.0,0.59,2045892782.0,1199939.0,0.06
1000,i,22065468901.0,129436783.0,0.59,2045901501.0,1205730.0,0.06
1000,i,22066626695.0,135315946.0,0.61,2046584826.0,1319771.0,0.06
1000,i,22068152597.0,146567594.0,0.66,2047499270.0,1473911.0,0.07
1000,i,22066374090.0,138534134.0,0.63,2046442479.0,1343930.0,0.07
1000,i,22065571822.0,133216217.0,0.6,2045948962.0,1226733.0,0.06
10,u,802843.0,44249.0,5.51,525388.0,15946.0,3.04
10,u,806575.0,51115.0,6.34,529415.0,16197.0,3.06
10,u,803180.0,49490.0,6.16,527253.0,16194.0,3.07
10,u,794133.0,52784.0,6.65,519152.0,16351.0,3.15
10,u,796716.0,50392.0,6.32,520854.0,16301.0,3.13
10,u,801951.0,51545.0,6.43,524823.0,16559.0,3.16
10,u,800270.0,50486.0,6.31,521877.0,16546.0,3.17
10,u,797590.0,43566.0,5.46,522960.0,15901.0,3.04
10,u,800434.0,51988.0,6.49,522118.0,17000.0,3.26
10,u,801383.0,44340.0,5.53,524212.0,16312.0,3.11
10,u,799944.0,50437.0,6.31,524915.0,16248.0,3.1
10,u,800787.0,45291.0,5.66,524740.0,16021.0,3.05
10,u,799476.0,43956.0,5.5,524957.0,16126.0,3.07
10,u,797638.0,42367.0,5.31,521900.0,15715.0,3.01
10,u,799843.0,43819.0,5.48,523906.0,16059.0,3.07
100,u,20736164.0,189989.0,0.92,1190615.0,18019.0,1.51
100,u,20753838.0,203943.0,0.98,1200132.0,18729.0,1.56
100,u,20729777.0,184716.0,0.89,1187438.0,17484.0,1.47
100,u,20742800.0,231213.0,1.11,1196087.0,18689.0,1.56
100,u,20727566.0,218422.0,1.05,1183681.0,18203.0,1.54
100,u,20712345.0,216592.0,1.05,1173773.0,18211.0,1.55
100,u,20738600.0,264865.0,1.28,1192102.0,19573.0,1.64
100,u,20718944.0,194971.0,0.94,1180826.0,17894.0,1.52
100,u,20727535.0,192924.0,0.93,1183423.0,17759.0,1.5
100,u,20733043.0,226345.0,1.09,1187018.0,20130.0,1.7
100,u,20733159.0,196893.0,0.95,1188645.0,18152.0,1.53
100,u,20725802.0,191876.0,0.93,1184649.0,17634.0,1.49
100,u,20725218.0,192955.0,0.93,1184550.0,17611.0,1.49
100,u,20724842.0,208620.0,1.01,1182416.0,18165.0,1.54
100,u,20732769.0,221645.0,1.07,1186079.0,18360.0,1.55
1000,u,19368895964.0,1260871336.0,6.51,247761983.0,1338673.0,0.54
1000,u,19367568746.0,1260705559.0,6.51,247034949.0,1274093.0,0.52
1000,u,19368167506.0,1261740399.0,6.51,247399982.0,1309430.0,0.53
1000,u,19367780156.0,1258952877.0,6.5,247160967.0,1289431.0,0.52
1000,u,19368222030.0,1259841678.0,6.5,247399926.0,1304193.0,0.53
1000,u,19368524789.0,1260991614.0,6.51,247586654.0,1316596.0,0.53
1000,u,19367821678.0,1259743156.0,6.5,247184103.0,1280686.0,0.52
1000,u,19367817107.0,1263022564.0,6.52,247190571.0,1298279.0,0.53
1000,u,19369134220.0,1261180320.0,6.51,247885307.0,1325020.0,0.53
1000,u,19367634874.0,1260754101.0,6.51,247071576.0,1283664.0,0.52
1000,u,19369080084.0,1261402499.0,6.51,247857634.0,1323170.0,0.53
1000,u,19367676547.0,1261674437.0,6.51,247089767.0,1273489.0,0.52
1000,u,19369125026.0,1259331948.0,6.5,247882534.0,1324173.0,0.53
1000,u,19368093959.0,1261052117.0,6.51,247360234.0,1354241.0,0.55
1000,u,19368132479.0,1261072247.0,6.51,247346367.0,1294198.0,0.52
